economy,Pop-YR2002,Pop-YR2021,Pop%,Life-YR2002,Life-YR2021,Life%,Fer-YR2002,Fer-YR2021,Fer%,Death-YR2002,Death-YR2021,Death%,Birth-YR2002,Birth-YR2021,Birth%,Med_Age-YR2002,Med_Age-YR2021,Med%,Pop_Gro-YR2002,Pop_Gro-YR2021
BTN,619048,777486,0.2559381501919076,64.078,71.815,0.12074346889728127,3.078,1.413,-0.5409356725146198,7.669,6.477,-0.15543095579606203,23.399,12.482,-0.46655839993162107,19.9,28.2,0.41708542713567853,2.58776329516912,0.642586172837449
BWA,1795130,2588423,0.44191395609231643,50.632,61.141,0.20755648601674825,3.181,2.791,-0.12260295504558316,13.533,9.461,-0.3008941106923816,28.477,23.576,-0.17210380306914352,18.9,23.5,0.24338624338624348,1.86676435735896,1.6367427551677
CAF,3930648,5457154,0.38835988366294827,45.409,53.895,0.18687925301151753,5.836,5.978,0.024331734064427568,17.168,11.393,-0.3363816402609505,42.635,42.68,0.0010554708572769744,15.9,14.7,-0.07547169811320764,2.20897342817341,2.11363722558977
CAN,31360079,38226498,0.21895413592548674,79.5307317073171,82.5966097560976,0.03854960193329182,1.52,1.43,-0.05921052631578949,7.1,7.8,0.09859154929577474,10.5,9.6,-0.08571428571428574,36.6,40.2,0.09836065573770503,1.08744792718674,0.575421916470359
CEB,106959751,101410997,-0.05187702802337302,73.2424154880921,74.9321193249952,0.023070017907558027,1.25343211636416,1.55097995047774,0.2373864768813163,11.1644498611445,15.3957630206515,0.3789988053270039,9.27703769430054,9.26899267246135,-0.0008671972783007575,,,,-0.650464177326484,-0.75271683952937
CHE,7284753,8703405,0.19474263574894035,80.3853658536585,83.8512195121951,0.04311548030827139,1.39,1.52,0.09352517985611519,8.5,8.2,-0.03529411764705892,9.9,10.3,0.04040404040404044,38.2,41.8,0.09424083769633484,0.756469145838096,0.752392087137583
CHI,147167,172683,0.17338126074459637,78.906,81.232,0.029478113197982214,1.469,1.457,-0.008168822328114334,9.20043216210156,8.44900771934701,-0.08167273335809366,10.9059775629047,10.1168036228233,-0.07236159578813695,,,,0.766005021042782,0.913338674061597
CHL,15693790,19493184,0.2420953765788889,77.445,78.944,0.019355671767060656,1.935,1.537,-0.2056847545219639,5.035,7.426,0.47487586891757694,15.367,11.788,-0.2329016724149151,28.7,34.9,0.21602787456445993,1.08792963607244,0.994344898418259
CHN,1280400000,1412360000,0.10306154326772887,72.985,78.211,0.07160375419606768,1.566,1.164,-0.25670498084291193,6.41,7.18,0.12012480499219969,12.86,7.52,-0.4152410575427683,30.1,37.9,0.25913621262458464,0.669999567758626,0.0892522000412526
CIV,17683897,27478249,0.5538571051392123,50.886,58.598,0.15155445505640053,5.705,4.418,-0.22559158632778264,13.933,9.001,-0.3539797602813465,43.53,33.934,-0.22044566965311285,16.1,17.6,0.0931677018633541,2.51050671514096,2.455303010444
CMR,15914033,27198628,0.7090971220180327,53.415,60.333,0.12951418140971627,5.458,4.463,-0.18230120923415172,13.036,8.582,-0.3416692236882478,40.954,34.938,-0.14689651804463544,16.2,17.5,0.08024691358024705,2.67966597627532,2.63581940586039
COD,51662071,95894118,0.8561802913398497,52.333,59.193,0.13108363747539786,6.672,6.156,-0.07733812949640284,14.186,9.7,-0.31622726631890596,44.697,42.049,-0.05924334966552569,15.8,15.6,-0.012658227848101333,3.05700023925831,3.22252815991252
